ORDER_NUMBER,ACCOUNT_NUMBER,ACCOUNT_NAME,ORDER_DATE,CUSTOMER_ORDER_NO,DELIVERY_INSTRUCTIONS,ORDER_STATUS
"""6064405""","""1569782""","""A-000137319""",04/11/2017,"""""",""" ""","""Completed"""
"""6064406""","""1569794""","""A-000137329""",05/11/2017,"""""",""" ""","""Completed"""
"""6064408""","""1569897""","""A-000137336""",06/11/2017,"""""",""" ""","""Completed"""
"""6064409""","""1569790""","""A-000137325""",05/11/2017,"""""",""" ""","""Completed"""
"""6064410""","""1569792""","""A-000137327""",05/11/2017,"""""",""" ""","""Completed"""
"""6064411""","""1569920""","""A-000137337""",06/11/2017,"""""",""" ""","""Completed"""
"""6064412""","""1569794""","""A-000137329""",06/11/2017,"""""",""" ""","""Completed"""
"""6064413""","""1569794""","""A-000137329""",05/11/2017,"""""",""" ""","""Completed"""
"""6039364""","""1568743""","""A-000132210""",11/10/2017,"""1710-W2WQ-O""","""Leave by the front door ""","""Completed/Cancelled"""
"""6065159""","""1568523""","""A-000132010""",07/11/2017,"""""",""" ""","""Completed"""
"""6145508""","""1573636""","""A-000148516""",03/01/2018,"""""",""" ""","""Completed"""
"""6165233""","""1575909""","""A-000149851""",20/02/2018,"""""",""" ""","""Completed"""
"""6088597""","""1568606""","""A-000132097""",29/11/2017,"""""",""" ""","""Completed"""
"""6112792""","""1573015""","""A-000148004""",19/12/2017,"""1712-KXSJ-O""",""" ""","""Completed"""
"""6122146""","""1573592""","""A-000148503""",02/01/2018,"""""",""" ""","""Completed"""
"""6122147""","""1573601""","""A-000148512""",02/01/2018,"""""",""" ""","""Completed"""
"""6147172""","""1572137""","""A-000147785""",01/02/2018,"""1712-ZDPP-S""",""" ""","""Completed"""
"""6114979""","""1568606""","""A-000132097""",21/12/2017,"""""",""" ""","""Cancelled"""
"""6051760""","""1569476""","""A-000135628""",24/10/2017,"""1710-XRHG-O""",""" ""","""Completed"""
"""6132494""","""1574516""","""A-000148746""",14/01/2018,"""""",""" ""","""Completed"""
"""6132495""","""1574398""","""A-000148743""",13/01/2018,"""""",""" ""","""Completed"""
"""6145797""","""1574847""","""A-000149675""",31/01/2018,"""""",""" ""","""Completed"""
"""6145799""","""1574836""","""A-000148505""",02/01/2018,"""""",""" ""","""Completed/Cancelled"""
"""6145800""","""1574838""","""A-000148507""",02/01/2018,"""""",""" ""","""Completed"""
"""6058828""","""1567538""","""A-000128415""",01/11/2017,"""1710-7ALC-S""",""" ""","""Completed"""
"""6058829""","""1568419""","""A-000131909""",01/11/2017,"""1710-BCD7-S""",""" ""","""Completed"""
"""6058830""","""1568445""","""A-000131935""",01/11/2017,"""1710-CSKR-S""",""" ""","""Completed"""
"""6058831""","""1568528""","""A-000132015""",01/11/2017,"""1710-VQER-S""",""" ""","""Completed"""
"""6058833""","""1568549""","""A-000132035""",01/11/2017,"""1710-LVBA-S""",""" ""","""Completed"""
"""6058834""","""1568606""","""A-000132097""",01/11/2017,"""1710-9FDM-S""",""" ""","""Completed"""
"""6058837""","""1568681""","""A-000132161""",01/11/2017,"""1710-8ZW2-S""",""" ""","""Completed"""
"""6058842""","""1568854""","""A-000133069""",01/11/2017,"""1710-BHSH-S""",""" ""","""Completed"""
"""6058844""","""1569249""","""A-000133267""",01/11/2017,"""1710-8AHJ-S""",""" ""","""Completed"""
"""6058845""","""1569303""","""A-000133866""",01/11/2017,"""1710-6FK8-S""",""" ""","""Completed"""
"""6058846""","""1569324""","""A-000133884""",01/11/2017,"""1710-ZQTT-S""",""" ""","""Completed"""
"""6058847""","""1569656""","""A-000136933""",01/11/2017,"""1710-WAUE-S""",""" ""","""Completed"""
